Date,Open,High,Low,Close,Adj Close,Volume
2014-04-15,88.750000,89.260002,87.239998,89.050003,85.189888,644500
2014-04-16,89.730003,90.000000,88.900002,89.959999,86.060432,399600
2014-04-17,89.580002,90.260002,88.989998,89.860001,85.964775,475300
2014-04-21,89.980003,90.419998,89.620003,90.239998,86.328300,337500
2014-04-22,90.349998,91.010002,90.190002,90.820000,86.883179,201900
2014-04-23,90.739998,90.739998,89.940002,90.000000,86.098709,257500
2014-04-24,91.349998,91.440002,89.910004,90.669998,86.739670,235900
2014-04-25,90.209999,90.230003,89.059998,89.220001,85.352524,243400
2014-04-28,89.559998,90.250000,88.449997,89.730003,85.840424,352600
2014-04-29,89.970001,90.570000,89.760002,90.410004,86.490936,348200
2014-04-30,90.180000,90.849998,89.860001,90.730003,86.797066,234600
2014-05-01,90.709999,91.400002,90.489998,90.699997,86.768356,369200
2014-05-02,90.919998,91.059998,90.430000,90.540001,86.615288,199100
2014-05-05,90.080002,90.910004,89.830002,90.849998,86.911865,186500
2014-05-06,90.680000,90.769997,89.739998,89.769997,85.878685,252400
2014-05-07,89.949997,89.980003,88.430000,89.480003,85.601242,475400
2014-05-08,89.330002,90.620003,89.040001,89.519997,85.639511,372900
2014-05-09,89.449997,89.760002,88.910004,89.730003,85.840424,224200
2014-05-12,90.150002,91.330002,90.139999,91.230003,87.275398,226100
2014-05-13,91.309998,91.669998,91.029999,91.209999,87.256256,222800
2014-05-14,91.110001,91.220001,90.430000,90.589996,86.663132,254600
2014-05-15,90.620003,90.809998,89.440002,89.959999,86.060432,265600
2014-05-16,90.080002,90.570000,89.519997,90.540001,86.615288,208800
2014-05-19,90.269997,91.459999,90.269997,91.389999,87.428467,361300
2014-05-20,91.309998,91.540001,90.500000,90.830002,86.892731,596600
2014-05-21,91.000000,91.589996,90.980003,91.550003,87.581528,157100
2014-05-22,91.599998,92.139999,91.410004,91.809998,87.830246,930600
2014-05-23,91.839996,92.760002,91.830002,92.660004,88.643410,269300
2014-05-27,93.099998,93.690002,93.000000,93.690002,89.628761,240100
2014-05-28,93.550003,93.750000,93.239998,93.410004,89.360886,223600
2014-05-29,93.730003,93.989998,93.529999,93.989998,89.915756,191300
2014-05-30,93.900002,94.070000,93.419998,93.849998,89.781815,181200
2014-06-02,94.010002,94.010002,93.089996,93.650002,89.590485,199500
2014-06-03,93.269997,93.769997,93.150002,93.570000,89.513954,164900
2014-06-04,93.330002,93.970001,93.099998,93.839996,89.772255,229600
2014-06-05,93.970001,94.750000,93.620003,94.690002,90.585403,196800
2014-06-06,94.860001,95.320000,94.860001,95.190002,91.063728,204500
2014-06-09,95.269997,95.769997,95.180000,95.489998,91.350731,446100
2014-06-10,95.470001,95.720001,95.379997,95.669998,91.522934,205300
2014-06-11,95.459999,95.760002,95.230003,95.570000,91.427269,264900
2014-06-12,95.500000,95.559998,94.430000,94.750000,90.642807,216100
2014-06-13,95.169998,95.470001,94.820000,95.349998,91.216789,176400
2014-06-16,95.199997,95.669998,94.980003,95.480003,91.341171,697100
2014-06-17,95.360001,96.050003,95.230003,95.839996,91.685547,227600
2014-06-18,96.000000,96.339996,95.370003,96.290001,92.116058,254700
2014-06-19,96.360001,96.419998,95.639999,96.040001,91.876884,357900
2014-06-20,95.989998,96.029999,95.610001,95.870003,91.714264,225500
2014-06-23,95.910004,96.129997,95.720001,96.120003,91.953423,160800
2014-06-24,95.940002,96.699997,95.379997,95.540001,91.398567,369800
2014-06-25,95.430000,96.199997,95.370003,96.110001,91.943848,247100
2014-06-26,96.160004,96.169998,95.389999,95.949997,91.790787,194000
2014-06-27,95.889999,96.550003,95.820000,96.489998,92.307381,186400
2014-06-30,96.519997,97.059998,96.440002,96.790001,92.594383,905400
2014-07-01,97.070000,98.190002,97.070000,97.849998,93.608421,257500
2014-07-02,97.900002,98.040001,97.639999,97.790001,93.551033,197700
2014-07-03,97.989998,98.290001,97.820000,98.239998,93.981522,191300
2014-07-07,98.150002,98.260002,97.860001,98.040001,93.790207,335500
2014-07-08,97.919998,97.949997,96.269997,96.879997,92.680473,317200
2014-07-09,97.139999,97.379997,96.760002,97.300003,93.082268,357200
2014-07-10,96.120003,97.370003,95.820000,96.949997,92.747437,178800
2014-07-11,97.010002,97.320000,96.809998,97.269997,93.053574,139500
2014-07-14,97.839996,98.250000,97.739998,98.019997,93.771049,364100
2014-07-15,98.120003,98.410004,97.080002,97.730003,93.493637,486300
2014-07-16,98.550003,98.800003,98.230003,98.459999,94.191986,221500
2014-07-17,98.410004,98.589996,96.919998,97.190002,92.977036,232100
2014-07-18,97.750000,98.559998,97.620003,98.500000,94.230247,156500
2014-07-21,98.379997,98.699997,97.970001,98.449997,94.182419,344400
2014-07-22,98.860001,99.430000,98.860001,99.320000,95.014694,182700
2014-07-23,99.480003,99.730003,99.040001,99.379997,95.072113,430900
2014-07-24,99.559998,99.699997,99.230003,99.470001,95.158203,289100
2014-07-25,99.190002,99.260002,98.680000,99.139999,94.842514,220500
2014-07-28,99.239998,99.500000,98.419998,99.269997,94.966873,557600
2014-07-29,99.389999,99.459999,98.800003,98.889999,94.603355,201600
2014-07-30,99.400002,99.459999,98.820000,99.309998,95.005150,247000
2014-07-31,98.500000,98.680000,97.199997,97.290001,93.072693,309700
2014-08-01,96.959999,97.480003,96.260002,96.870003,92.670921,797600
2014-08-04,97.129997,97.830002,96.620003,97.540001,93.311859,223500
2014-08-05,97.129997,97.410004,96.320000,96.820000,92.623077,588200
2014-08-06,96.089996,97.190002,96.050003,96.660004,92.470016,345300
2014-08-07,97.000000,97.320000,95.970001,96.300003,92.125618,282900
2014-08-08,96.379997,97.000000,95.989998,96.940002,92.737885,173600
2014-08-11,97.279999,97.849998,97.199997,97.589996,93.359711,336600
2014-08-12,97.480003,97.739998,96.900002,97.370003,93.149231,196500
2014-08-13,97.589996,98.430000,97.589996,98.430000,94.163284,262100
2014-08-14,98.559998,98.589996,98.220001,98.570000,94.297218,208900
2014-08-15,98.930000,99.190002,97.910004,98.680000,94.402451,380700
2014-08-18,99.180000,99.730003,99.080002,99.690002,95.368660,414000
2014-08-19,100.000000,100.489998,99.930000,100.449997,96.095718,271000
2014-08-20,100.309998,100.599998,100.180000,100.470001,96.114861,220100
2014-08-21,100.559998,101.080002,100.419998,100.949997,96.574043,242500
2014-08-22,100.980003,101.230003,100.730003,101.010002,96.631454,674900
2014-08-25,101.470001,101.480003,100.790001,101.019997,96.641006,293500
2014-08-26,101.139999,101.330002,100.989998,101.230003,96.841911,300000
2014-08-27,101.290001,101.309998,100.809998,101.040001,96.660149,222600
2014-08-28,100.730003,101.050003,100.470001,100.830002,96.459251,237900
2014-08-29,101.120003,101.430000,100.839996,101.430000,97.033241,247800
2014-09-02,101.650002,101.769997,101.279999,101.660004,97.253288,318400
2014-09-03,101.940002,101.940002,100.839996,101.000000,96.621887,279200
2014-09-04,101.129997,101.709999,100.610001,100.870003,96.497528,215100
2014-09-05,101.000000,101.459999,100.739998,101.440002,97.042816,198400
2014-09-08,101.410004,102.029999,101.279999,101.699997,97.291534,211100
2014-09-09,101.699997,102.199997,100.720001,100.900002,96.526207,288300
2014-09-10,100.940002,101.839996,100.769997,101.739998,97.329811,379900
2014-09-11,101.339996,101.919998,101.129997,101.900002,97.482864,748800
2014-09-12,101.830002,101.900002,101.209999,101.440002,97.042816,187400
2014-09-15,101.650002,101.650002,100.290001,100.559998,96.200951,254400
2014-09-16,100.230003,101.430000,100.050003,101.269997,96.880188,231300
2014-09-17,101.260002,101.839996,100.889999,101.400002,97.004547,231900
2014-09-18,101.720001,102.120003,101.599998,102.099998,97.674202,231100
2014-09-19,102.419998,102.419998,101.239998,101.660004,97.253288,198900
2014-09-22,101.529999,101.529999,100.459999,100.750000,96.382736,271000
2014-09-23,100.459999,100.949997,100.379997,100.440002,96.086166,268200
2014-09-24,100.440002,101.209999,100.089996,101.180000,96.794067,219100
2014-09-25,100.870003,100.900002,98.910004,98.910004,94.622482,400400
2014-09-26,99.190002,100.190002,99.190002,100.080002,95.741753,180700
2014-09-29,99.099998,100.150002,98.879997,99.980003,95.646111,381600
2014-09-30,100.260002,100.620003,99.769997,100.080002,95.741753,902500
2014-10-01,99.910004,99.949997,98.150002,98.430000,94.163284,585400
2014-10-02,98.379997,98.830002,97.220001,98.470001,94.201569,388800
2014-10-03,99.050003,99.660004,98.769997,99.349998,95.043396,339900
2014-10-06,99.820000,99.980003,98.940002,99.209999,94.909485,424100
2014-10-07,98.760002,98.980003,97.519997,97.529999,93.302292,291100
2014-10-08,97.540001,99.510002,96.790001,99.370003,95.062546,374800
2014-10-09,99.220001,99.389999,97.550003,97.639999,93.407539,473400
2014-10-10,97.120003,97.320000,94.709999,94.709999,90.604546,724800
2014-10-13,94.550003,95.489998,93.519997,93.540001,89.485268,470000
2014-10-14,94.220001,95.070000,93.639999,93.870003,89.800957,745100
2014-10-15,92.610001,93.889999,91.330002,93.519997,89.466133,590700
2014-10-16,91.800003,93.720001,91.620003,93.110001,89.073898,468400
2014-10-17,94.199997,94.949997,93.730003,94.139999,90.059250,387900
2014-10-20,93.559998,94.870003,93.220001,94.800003,90.690636,1116800
2014-10-21,95.870003,96.889999,95.610001,96.879997,92.680473,562600
2014-10-22,97.000000,97.360001,96.099998,96.150002,91.982124,434700
2014-10-23,97.150002,98.220001,97.000000,97.680000,93.445793,371800
2014-10-24,98.129997,98.540001,97.540001,98.440002,94.172852,326300
2014-10-27,98.199997,98.690002,97.900002,98.430000,94.163284,342300
2014-10-28,98.730003,100.050003,98.720001,100.050003,95.713066,277700
2014-10-29,99.849998,100.190002,99.190002,99.779999,95.454773,332200
2014-10-30,99.540001,100.379997,99.330002,100.190002,95.847000,194300
2014-10-31,101.519997,102.040001,101.470001,101.989998,97.568962,273900
2014-11-03,102.279999,102.690002,101.989998,102.400002,97.961205,362000
2014-11-04,102.410004,102.730003,101.830002,102.470001,98.028168,232600
2014-11-05,103.110001,103.110001,102.309998,102.690002,98.238632,306600
2014-11-06,102.540001,102.800003,102.120003,102.779999,98.324715,360300
2014-11-07,102.900002,102.919998,102.209999,102.769997,98.315155,511200
2014-11-10,102.879997,103.230003,102.610001,103.120003,98.649986,192800
2014-11-11,103.110001,103.239998,102.830002,103.239998,98.764778,173300
2014-11-12,103.040001,103.620003,102.790001,103.519997,99.032654,203600
2014-11-13,103.779999,104.279999,103.489998,103.860001,99.357910,263600
